frequency,real,img,mag,phase,,,,
0.81,-0.003337495,-0.000528425,0.003379069,-2.984566368,,,,
0.815,-0.004943397,-0.001187071,0.005083927,-2.905922247,,,,
0.82,-0.006452762,-0.002096683,0.006784852,-2.827425876,,,,
0.825,-0.007826086,-0.003241673,0.008470896,-2.748893307,,,,
0.83,-0.009026938,-0.004599487,0.010131184,-2.670350889,,,,
0.835,-0.010022545,-0.006141708,0.011754658,-2.591822355,,,,
0.84,-0.010784657,-0.007835722,0.013330692,-2.513261395,,,,
0.845,-0.011290862,-0.009643242,0.014848424,-2.434737659,,,,
0.85,-0.011523872,-0.011523773,0.016297146,-2.356198815,,,,
0.855,-0.011473622,-0.01343387,0.017666716,-2.277655218,,,,
0.86,-0.011136879,-0.015328708,0.018947279,-2.199111466,,,,
0.865,-0.010517251,-0.017162904,0.02012903,-2.120566976,,,,
0.87,-0.009626209,-0.018892319,0.021203387,-2.042039091,,,,
0.875,-0.008480909,-0.020474482,0.022161458,-1.963499591,,,,
0.88,-0.007106076,-0.021869949,0.022995455,-1.884959686,,,,
0.885,-0.005532272,-0.023043317,0.023698112,-1.806418264,,,,
0.89,-0.003795604,-0.023964211,0.024262935,-1.727877817,,,,
0.895,-0.001936727,-0.024608074,0.024684169,-1.649337334,,,,
0.9,-2.66847E-08,-0.024956945,0.024956945,-1.570797396,,,,
0.905,0.0019678,-0.02499944,0.025076767,-1.492244543,,,,
0.91,0.003917327,-0.024733078,0.025041378,-1.413717014,,,,
0.915,0.00580058,-0.024161326,0.024847865,-1.335178472,,,,
0.92,0.007569265,-0.023296022,0.024494865,-1.25663984,,,,
0.925,0.009177581,-0.022156842,0.023982361,-1.178100446,,,,
0.93,0.010582765,-0.020770798,0.023311392,-1.099575956,,,,
0.935,0.011747003,-0.01916957,0.022482537,-1.021022352,,,,
0.94,0.012637339,-0.017393945,0.021500039,-0.94248165,,,,
0.945,0.013227036,-0.015487178,0.020366815,-0.863947811,,,,
0.95,0.013497042,-0.013496965,0.019087645,-0.785395298,,,,
0.955,0.013435303,-0.011474705,0.017668509,-0.706852832,,,,
0.96,0.013038379,-0.00947289,0.016116295,-0.628316192,,,,
0.965,0.012310802,-0.007543993,0.01443841,-0.549774236,,,,
0.97,0.011265422,-0.005739967,0.012643455,-0.471235199,,,,
0.975,0.009923452,-0.004110496,0.010741093,-0.392704879,,,,
0.98,0.008313123,-0.00270129,0.008740994,-0.31418028,,,,
0.985,0.00647105,-0.00155378,0.006654977,-0.235651371,,,,
0.99,0.004439016,-0.000703363,0.004494395,-0.157143729,,,,
0.995,0.002264779,-0.000178579,0.002271809,-0.07868755,,,,
1,5.68813E-08,-2.99656E-07,3.05006E-07,-1.383205864,,,,
1.005,-0.002300039,-0.000181463,0.002307186,-3.062860123,,,,
1.01,-0.004578974,-0.000725616,0.004636111,-2.984432583,,,,
1.015,-0.006779549,-0.001627849,0.006972243,-2.905942096,,,,
1.02,-0.008845952,-0.002874344,0.009301221,-2.827421172,,,,
1.025,-0.010724654,-0.004442273,0.011608273,-2.748895498,,,,
1.03,-0.012365839,-0.00630064,0.013878474,-2.670358227,,,,
1.035,-0.013725165,-0.008410611,0.01609716,-2.591823521,,,,
1.04,-0.014764331,-0.010726676,0.018249577,-2.5132847,,,,
1.045,-0.015452471,-0.013197444,0.020321206,-2.434742257,,,,
1.05,-0.015767146,-0.015766884,0.022297926,-2.356202801,,,,
1.055,-0.015694396,-0.018375606,0.024165615,-2.277659271,,,,
1.06,-0.015230215,-0.020962506,0.025911119,-2.199116827,,,,
1.065,-0.014379964,-0.023465954,0.027521525,-2.12057532,,,,
1.07,-0.013158942,-0.025825457,0.028984686,-2.042041817,,,,
1.075,-0.011591188,-0.02798342,0.030289065,-1.963497726,,,,
1.08,-0.009710662,-0.029885958,0.031423995,-1.884959377,,,,
1.085,-0.007560376,-0.031485142,0.03238014,-1.806459694,,,,
1.09,-0.005185553,-0.032739303,0.033147427,-1.727880639,,,,
1.095,-0.002645779,-0.033615616,0.033719575,-1.649341262,,,,
1.1,-1.65647E-07,-0.03408925,0.03408925,-1.570801186,,,,
1.105,0.002687144,-0.034145487,0.034251059,-1.492261284,,,,
1.11,0.005350046,-0.033779744,0.03420079,-1.413720733,,,,
1.115,0.007921942,-0.032997758,0.033935368,-1.335180294,,,,
1.12,0.010337458,-0.031815931,0.033453199,-1.256641734,,,,
1.125,0.012534162,-0.030260537,0.032753707,-1.178101836,,,,
1.13,0.014453986,-0.028367683,0.031837763,-1.099559397,,,,
1.135,0.016044663,-0.026182882,0.03070789,-1.021023945,,,,
1.14,0.017261785,-0.023759006,0.029367663,-0.942481741,,,,
1.145,0.018068855,-0.021156096,0.027822004,-0.863942299,,,,
1.15,0.01843947,-0.0184396,0.02607744,-0.785401688,,,,
1.155,0.01835727,-0.015678843,0.024141572,-0.70686631,,,,
1.16,0.017817314,-0.012945198,0.022023506,-0.628324452,,,,
1.165,0.016825682,-0.010310897,0.019733681,-0.549783282,,,,
1.17,0.015399549,-0.00784657,0.017283367,-0.471244481,,,,
1.175,0.013567638,-0.00561994,0.014685521,-0.392701623,,,,
1.18,0.011368097,-0.003693728,0.011953127,-0.314160022,,,,
1.185,0.008851548,-0.002125096,0.009103073,-0.235622361,,,,
1.19,0.006073559,-0.000961963,0.006149267,-0.15708051,,,,
1.195,0.003099331,-0.000243895,0.003108912,-0.078530956,,,,
1.2,-6.12203E-07,4.60736E-08,6.13935E-07,3.066475658,,,,
1.205,-0.003149758,-0.000247963,0.003159504,-3.063030101,,,,
1.21,-0.006272652,-0.000993502,0.006350843,-2.984511244,,,,
1.215,-0.009290618,-0.002230471,0.009554611,-2.905974143,,,,
1.22,-0.012126132,-0.00394041,0.012750291,-2.827404226,,,,
1.225,-0.014708293,-0.006092296,0.015920111,-2.74889812,,,,
1.23,-0.016966207,-0.00864462,0.019041577,-2.670358166,,,,
1.235,-0.01883943,-0.011544705,0.022095346,-2.591818286,,,,
1.24,-0.020275079,-0.014730676,0.025061358,-2.513275126,,,,
1.245,-0.021230348,-0.018132269,0.027919649,-2.434738699,,,,
1.25,-0.021673511,-0.021673103,0.030650685,-2.356203901,,,,
1.255,-0.021584729,-0.025272322,0.033235384,-2.277657563,,,,
1.26,-0.020957646,-0.028845759,0.035655304,-2.199114294,,,,
1.265,-0.019798829,-0.032308589,0.03789246,-2.120577298,,,,
1.27,-0.018128053,-0.035577989,0.039930184,-2.042038835,,,,
1.275,-0.01597803,-0.038574035,0.041752289,-1.963498552,,,,
1.28,-0.013394039,-0.041222392,0.04334381,-1.884957176,,,,
1.285,-0.010433206,-0.043455612,0.044690514,-1.806425269,,,,
1.29,-0.007161874,-0.045217931,0.045781587,-1.7278772,,,,
1.295,-0.003656719,-0.046460519,0.0466042,-1.649340357,,,,
1.3,-2.0306E-07,-0.047148758,0.047148758,-1.570800634,,,,
1.305,0.00371937,-0.047261466,0.047407593,-1.492260468,,,,
1.31,0.007410887,-0.046791152,0.047374393,-1.413718845,,,,
1.315,0.010981942,-0.045743918,0.047043694,-1.335181038,,,,
1.32,0.014342205,-0.044141314,0.046412869,-1.25664069,,,,
1.325,0.017404408,-0.042018447,0.045480362,-1.178101357,,,,
1.33,0.020087557,-0.039424254,0.044246828,-1.09955952,,,,
1.335,0.022318111,-0.036420037,0.042714367,-1.02101994,,,,
1.34,0.024032879,-0.033078673,0.04088738,-0.94248143,,,,
1.345,0.025180243,-0.029482396,0.038771849,-0.863939986,,,,
1.35,0.025721444,-0.025721615,0.036375736,-0.785401476,,,,
1.355,0.025632377,-0.021892268,0.033708903,-0.706861742,,,,
1.36,0.024903785,-0.018093807,0.030782858,-0.62832242,,,,
1.365,0.023542349,-0.014426861,0.027611167,-0.549781532,,,,
1.37,0.021570069,-0.01099051,0.024208659,-0.471239298,,,,
1.375,0.019025022,-0.007880535,0.020592579,-0.392704138,,,,
1.38,0.015959737,-0.005185675,0.016781074,-0.314161673,,,,
1.385,0.012440527,-0.00298677,0.012794041,-0.235624283,,,,
1.39,0.00854624,-0.00135362,0.008652775,-0.157082835,,,,
1.395,0.004368021,-0.000346471,0.004381741,-0.079154187,,,,
1.4,1.37384E-07,-1.4835E-08,1.38183E-07,-0.107565464,,,,
1.405,-0.004448924,-0.000350177,0.004462684,-3.063044143,,,,
1.41,-0.008871351,-0.001405197,0.008981951,-2.984500624,,,,
1.415,-0.013157451,-0.003158827,0.013531324,-2.905973002,,,,
1.42,-0.017197895,-0.005587594,0.018082832,-2.827451307,,,,
1.425,-0.020888345,-0.008652184,0.022609362,-2.748895692,,,,
1.43,-0.024130036,-0.012294749,0.027081719,-2.670357645,,,,
1.435,-0.026834152,-0.016443975,0.031471829,-2.591814337,,,,
1.44,-0.028923155,-0.021013803,0.035750928,-2.513276357,,,,
1.445,-0.030333179,-0.025906736,0.039890609,-2.434739,,,,
