frequency,real,img,mag,phase,,
3.16,1.62E-02,-3.44E-02,3.80E-02,-2.83E-01,,
3.164,1.74E-02,-3.26E-02,3.70E-02,-2.70E-01,,
3.168,1.84E-02,-3.07E-02,3.58E-02,-2.58E-01,,
3.172,1.93E-02,-2.87E-02,3.46E-02,-2.45E-01,,
3.176,1.99E-02,-2.67E-02,3.33E-02,-2.32E-01,,
3.18,2.03E-02,-2.46E-02,3.19E-02,-2.20E-01,,
3.184,2.06E-02,-2.25E-02,3.04E-02,-2.07E-01,,
3.188,2.06E-02,-2.03E-02,2.89E-02,-1.95E-01,,
3.192,2.04E-02,-1.82E-02,2.73E-02,-1.82E-01,,
3.196,2.00E-02,-1.61E-02,2.57E-02,-1.70E-01,,
3.2,1.94E-02,-1.41E-02,2.40E-02,-1.57E-01,,
3.204,1.86E-02,-1.21E-02,2.22E-02,-1.45E-01,,
3.208,1.77E-02,-1.03E-02,2.04E-02,-1.32E-01,,
3.212,1.65E-02,-8.55E-03,1.86E-02,-1.19E-01,,
3.216,1.52E-02,-6.93E-03,1.67E-02,-1.07E-01,,
3.22,1.38E-02,-5.45E-03,1.48E-02,-9.42E-02,,
3.224,1.22E-02,-4.13E-03,1.29E-02,-8.17E-02,,
3.228,1.05E-02,-2.98E-03,1.09E-02,-6.91E-02,,
3.232,8.72E-03,-2.01E-03,8.95E-03,-5.66E-02,,
3.236,6.86E-03,-1.22E-03,6.96E-03,-4.40E-02,,
3.24,4.93E-03,-6.23E-04,4.97E-03,-3.14E-02,,
3.244,2.97E-03,-2.25E-04,2.98E-03,-1.89E-02,,
3.248,9.91E-04,-2.49E-05,9.92E-04,-6.28E-03,,
3.252,-9.89E-04,-2.48E-05,9.89E-04,-7.79E-01,,
3.256,-2.95E-03,-2.23E-04,2.96E-03,-7.67E-01,,
3.26,-4.87E-03,-6.15E-04,4.91E-03,-7.54E-01,,
3.264,-6.73E-03,-1.20E-03,6.83E-03,-7.41E-01,,
3.268,-8.51E-03,-1.96E-03,8.73E-03,-7.29E-01,,
3.272,-1.02E-02,-2.89E-03,1.06E-02,-7.16E-01,,
3.276,-1.18E-02,-3.99E-03,1.24E-02,-7.04E-01,,
3.28,-1.32E-02,-5.23E-03,1.42E-02,-6.91E-01,,
3.284,-1.45E-02,-6.61E-03,1.60E-02,-6.79E-01,,
3.288,-1.57E-02,-8.11E-03,1.77E-02,-6.66E-01,,
3.292,-1.67E-02,-9.72E-03,1.93E-02,-6.53E-01,,
3.296,-1.75E-02,-1.14E-02,2.09E-02,-6.41E-01,,
3.3,-1.81E-02,-1.32E-02,2.24E-02,-6.28E-01,,
3.304,-1.86E-02,-1.50E-02,2.39E-02,-6.16E-01,,
3.308,-1.88E-02,-1.68E-02,2.53E-02,-6.03E-01,,
3.312,-1.89E-02,-1.87E-02,2.66E-02,-5.91E-01,,
3.316,-1.88E-02,-2.05E-02,2.78E-02,-5.78E-01,,
3.32,-1.85E-02,-2.23E-02,2.90E-02,-5.65E-01,,
3.324,-1.80E-02,-2.41E-02,3.01E-02,-5.53E-01,,
3.328,-1.73E-02,-2.58E-02,3.11E-02,-5.40E-01,,
3.332,-1.65E-02,-2.75E-02,3.20E-02,-5.28E-01,,
3.336,-1.55E-02,-2.90E-02,3.29E-02,-5.15E-01,,
3.34,-1.43E-02,-3.04E-02,3.36E-02,-5.03E-01,,
3.344,-1.30E-02,-3.17E-02,3.43E-02,-4.90E-01,,
3.348,-1.16E-02,-3.29E-02,3.48E-02,-4.78E-01,,
3.352,-1.01E-02,-3.39E-02,3.53E-02,-4.65E-01,,
3.356,-8.45E-03,-3.47E-02,3.57E-02,-4.52E-01,,
3.36,-6.75E-03,-3.54E-02,3.60E-02,-4.40E-01,,
3.364,-4.99E-03,-3.59E-02,3.62E-02,-4.27E-01,,
3.368,-3.19E-03,-3.62E-02,3.64E-02,-4.15E-01,,
3.372,-1.37E-03,-3.64E-02,3.64E-02,-4.02E-01,,
3.376,4.56E-04,-3.63E-02,3.63E-02,-3.90E-01,,
3.38,2.27E-03,-3.61E-02,3.62E-02,-3.77E-01,,
3.384,4.05E-03,-3.57E-02,3.59E-02,-3.64E-01,,
3.388,5.79E-03,-3.51E-02,3.56E-02,-3.52E-01,,
3.392,7.45E-03,-3.43E-02,3.51E-02,-3.39E-01,,
3.396,9.03E-03,-3.34E-02,3.46E-02,-3.27E-01,,
3.4,1.05E-02,-3.24E-02,3.40E-02,-3.14E-01,,
3.404,1.19E-02,-3.12E-02,3.34E-02,-3.02E-01,,
3.408,1.31E-02,-2.98E-02,3.26E-02,-2.89E-01,,
3.412,1.42E-02,-2.84E-02,3.18E-02,-2.76E-01,,
3.416,1.52E-02,-2.68E-02,3.08E-02,-2.64E-01,,
3.42,1.60E-02,-2.52E-02,2.99E-02,-2.51E-01,,
3.424,1.66E-02,-2.35E-02,2.88E-02,-2.39E-01,,
3.428,1.71E-02,-2.18E-02,2.77E-02,-2.26E-01,,
3.432,1.74E-02,-2.00E-02,2.65E-02,-2.14E-01,,
3.436,1.75E-02,-1.82E-02,2.52E-02,-2.01E-01,,
3.44,1.74E-02,-1.64E-02,2.39E-02,-1.88E-01,,
3.444,1.72E-02,-1.46E-02,2.26E-02,-1.76E-01,,
3.448,1.68E-02,-1.29E-02,2.11E-02,-1.63E-01,,
3.452,1.62E-02,-1.12E-02,1.97E-02,-1.51E-01,,
3.456,1.55E-02,-9.55E-03,1.82E-02,-1.38E-01,,
3.46,1.46E-02,-8.02E-03,1.66E-02,-1.26E-01,,
3.464,1.35E-02,-6.58E-03,1.51E-02,-1.13E-01,,
3.468,1.24E-02,-5.27E-03,1.35E-02,-1.01E-01,,
3.472,1.11E-02,-4.07E-03,1.18E-02,-8.80E-02,,
3.476,9.71E-03,-3.02E-03,1.02E-02,-7.54E-02,,
3.48,8.22E-03,-2.11E-03,8.49E-03,-6.28E-02,,
3.484,6.67E-03,-1.36E-03,6.80E-03,-5.03E-02,,
3.488,5.05E-03,-7.68E-04,5.11E-03,-3.77E-02,,
3.492,3.39E-03,-3.42E-04,3.40E-03,-2.51E-02,,
3.496,1.70E-03,-8.56E-05,1.70E-03,-1.26E-02,,
3.5,3.56E-08,1.41E-08,3.82E-08,9.42E-02,,
3.504,-1.69E-03,-8.50E-05,1.69E-03,-7.73E-01,,
3.508,-3.36E-03,-3.39E-04,3.37E-03,-7.60E-01,,
3.512,-4.98E-03,-7.57E-04,5.04E-03,-7.48E-01,,
3.516,-6.55E-03,-1.33E-03,6.68E-03,-7.35E-01,,
3.52,-8.04E-03,-2.06E-03,8.30E-03,-7.23E-01,,
3.524,-9.45E-03,-2.94E-03,9.89E-03,-7.10E-01,,
3.528,-1.08E-02,-3.95E-03,1.15E-02,-6.97E-01,,
3.532,-1.19E-02,-5.08E-03,1.30E-02,-6.85E-01,,
3.536,-1.30E-02,-6.32E-03,1.45E-02,-6.72E-01,,
3.54,-1.39E-02,-7.66E-03,1.59E-02,-6.60E-01,,
3.544,-1.47E-02,-9.09E-03,1.73E-02,-6.47E-01,,
3.548,-1.54E-02,-1.06E-02,1.86E-02,-6.35E-01,,
3.552,-1.58E-02,-1.21E-02,1.99E-02,-6.22E-01,,
3.556,-1.61E-02,-1.37E-02,2.12E-02,-6.09E-01,,
3.56,-1.63E-02,-1.53E-02,2.24E-02,-5.97E-01,,
3.564,-1.63E-02,-1.69E-02,2.35E-02,-5.84E-01,,
3.568,-1.61E-02,-1.85E-02,2.45E-02,-5.72E-01,,
3.572,-1.58E-02,-2.01E-02,2.55E-02,-5.59E-01,,
3.576,-1.53E-02,-2.16E-02,2.64E-02,-5.47E-01,,
3.58,-1.46E-02,-2.30E-02,2.73E-02,-5.34E-01,,
3.584,-1.38E-02,-2.44E-02,2.81E-02,-5.22E-01,,
3.588,-1.29E-02,-2.57E-02,2.88E-02,-5.09E-01,,
3.592,-1.18E-02,-2.69E-02,2.94E-02,-4.96E-01,,
3.596,-1.07E-02,-2.80E-02,2.99E-02,-4.84E-01,,
3.6,-9.40E-03,-2.89E-02,3.04E-02,-4.71E-01,,
3.604,-8.03E-03,-2.97E-02,3.08E-02,-4.59E-01,,
3.608,-6.60E-03,-3.04E-02,3.11E-02,-4.46E-01,,
3.612,-5.10E-03,-3.09E-02,3.13E-02,-4.34E-01,,
3.616,-3.56E-03,-3.13E-02,3.15E-02,-4.21E-01,,
3.62,-1.98E-03,-3.15E-02,3.16E-02,-4.08E-01,,
3.624,-3.97E-04,-3.16E-02,3.16E-02,-3.96E-01,,
3.628,1.19E-03,-3.15E-02,3.15E-02,-3.83E-01,,
3.632,2.75E-03,-3.12E-02,3.13E-02,-3.71E-01,,
3.636,4.28E-03,-3.08E-02,3.11E-02,-3.58E-01,,
3.64,5.76E-03,-3.02E-02,3.08E-02,-3.46E-01,,
3.644,7.18E-03,-2.95E-02,3.04E-02,-3.33E-01,,
3.648,8.52E-03,-2.87E-02,2.99E-02,-3.20E-01,,
3.652,9.77E-03,-2.77E-02,2.94E-02,-3.08E-01,,
3.656,1.09E-02,-2.66E-02,2.87E-02,-2.95E-01,,
3.66,1.19E-02,-2.54E-02,2.80E-02,-2.83E-01,,
3.664,1.28E-02,-2.41E-02,2.73E-02,-2.70E-01,,
3.668,1.36E-02,-2.27E-02,2.65E-02,-2.58E-01,,
3.672,1.43E-02,-2.13E-02,2.56E-02,-2.45E-01,,
3.676,1.47E-02,-1.98E-02,2.46E-02,-2.32E-01,,
3.68,1.51E-02,-1.82E-02,2.36E-02,-2.20E-01,,
3.684,1.53E-02,-1.67E-02,2.26E-02,-2.07E-01,,
3.688,1.53E-02,-1.51E-02,2.15E-02,-1.95E-01,,
3.692,1.52E-02,-1.35E-02,2.03E-02,-1.82E-01,,
3.696,1.49E-02,-1.20E-02,1.91E-02,-1.70E-01,,
3.7,1.44E-02,-1.05E-02,1.79E-02,-1.57E-01,,
3.704,1.39E-02,-9.05E-03,1.66E-02,-1.45E-01,,
3.708,1.32E-02,-7.68E-03,1.52E-02,-1.32E-01,,
3.712,1.23E-02,-6.38E-03,1.39E-02,-1.19E-01,,
3.716,1.14E-02,-5.18E-03,1.25E-02,-1.07E-01,,
3.72,1.03E-02,-4.08E-03,1.11E-02,-9.42E-02,,
3.724,9.13E-03,-3.09E-03,9.64E-03,-8.17E-02,,
3.728,7.87E-03,-2.23E-03,8.18E-03,-6.91E-02,,
3.732,6.54E-03,-1.50E-03,6.71E-03,-5.65E-02,,
3.736,5.14E-03,-9.15E-04,5.23E-03,-4.40E-02,,
3.74,3.71E-03,-4.68E-04,3.73E-03,-3.14E-02,,
3.744,2.23E-03,-1.69E-04,2.24E-03,-1.88E-02,,
3.748,7.46E-04,-1.87E-05,7.46E-04,-6.26E-03,,
3.752,-7.44E-04,-1.87E-05,7.45E-04,-7.79E-01,,
3.756,-2.22E-03,-1.68E-04,2.23E-03,-7.67E-01,,
3.76,-3.67E-03,-4.64E-04,3.70E-03,-7.54E-01,,
3.764,-5.08E-03,-9.02E-04,5.16E-03,-7.41E-01,,
3.768,-6.43E-03,-1.48E-03,6.59E-03,-7.29E-01,,
3.772,-7.71E-03,-2.19E-03,8.01E-03,-7.16E-01,,
3.776,-8.90E-03,-3.02E-03,9.40E-03,-7.04E-01,,
3.78,-1.00E-02,-3.96E-03,1.08E-02,-6.91E-01,,
3.784,-1.10E-02,-5.01E-03,1.21E-02,-6.79E-01,,
3.788,-1.19E-02,-6.15E-03,1.34E-02,-6.66E-01,,
3.792,-1.26E-02,-7.37E-03,1.46E-02,-6.53E-01,,
3.796,-1.33E-02,-8.66E-03,1.59E-02,-6.41E-01,,
3.8,-1.38E-02,-1.00E-02,1.70E-02,-6.28E-01,,
3.804,-1.41E-02,-1.14E-02,1.81E-02,-6.16E-01,,
3.808,-1.43E-02,-1.28E-02,1.92E-02,-6.03E-01,,
3.812,-1.44E-02,-1.42E-02,2.02E-02,-5.91E-01,,
3.816,-1.43E-02,-1.56E-02,2.12E-02,-5.78E-01,,
3.82,-1.41E-02,-1.70E-02,2.21E-02,-5.65E-01,,
3.824,-1.37E-02,-1.84E-02,2.30E-02,-5.53E-01,,
3.828,-1.32E-02,-1.97E-02,2.37E-02,-5.40E-01,,
3.832,-1.26E-02,-2.10E-02,2.45E-02,-5.28E-01,,
3.836,-1.18E-02,-2.22E-02,2.51E-02,-5.15E-01,,
3.84,-1.10E-02,-2.33E-02,2.57E-02,-5.03E-01,,
3.844,-9.97E-03,-2.43E-02,2.63E-02,-4.90E-01,,
3.848,-8.89E-03,-2.52E-02,2.67E-02,-4.78E-01,,
3.852,-7.73E-03,-2.60E-02,2.71E-02,-4.65E-01,,
3.856,-6.49E-03,-2.67E-02,2.74E-02,-4.52E-01,,
3.86,-5.19E-03,-2.72E-02,2.77E-02,-4.40E-01,,
3.864,-3.84E-03,-2.76E-02,2.79E-02,-4.27E-01,,
3.868,-2.46E-03,-2.79E-02,2.80E-02,-4.15E-01,,
3.872,-1.06E-03,-2.80E-02,2.80E-02,-4.02E-01,,
3.876,3.52E-04,-2.80E-02,2.80E-02,-3.90E-01,,
3.88,1.75E-03,-2.78E-02,2.79E-02,-3.77E-01,,
3.884,3.13E-03,-2.75E-02,2.77E-02,-3.64E-01,,
3.888,4.47E-03,-2.71E-02,2.75E-02,-3.52E-01,,
3.892,5.76E-03,-2.65E-02,2.72E-02,-3.39E-01,,
3.896,6.98E-03,-2.58E-02,2.68E-02,-3.27E-01,,
3.9,8.14E-03,-2.50E-02,2.63E-02,-3.14E-01,,
3.904,9.20E-03,-2.41E-02,2.58E-02,-3.02E-01,,
3.908,1.02E-02,-2.31E-02,2.52E-02,-2.89E-01,,
3.912,1.10E-02,-2.20E-02,2.46E-02,-2.76E-01,,
3.916,1.18E-02,-2.08E-02,2.39E-02,-2.64E-01,,
3.92,1.24E-02,-1.96E-02,2.32E-02,-2.51E-01,,
3.924,1.29E-02,-1.83E-02,2.24E-02,-2.39E-01,,
3.928,1.33E-02,-1.69E-02,2.15E-02,-2.26E-01,,
3.932,1.35E-02,-1.55E-02,2.06E-02,-2.14E-01,,
3.936,1.36E-02,-1.41E-02,1.96E-02,-2.01E-01,,
3.94,1.36E-02,-1.27E-02,1.86E-02,-1.88E-01,,
3.944,1.34E-02,-1.14E-02,1.76E-02,-1.76E-01,,
3.948,1.31E-02,-1.00E-02,1.65E-02,-1.63E-01,,
3.952,1.26E-02,-8.71E-03,1.54E-02,-1.51E-01,,
3.956,1.21E-02,-7.45E-03,1.42E-02,-1.38E-01,,
3.96,1.14E-02,-6.26E-03,1.30E-02,-1.26E-01,,
3.964,1.06E-02,-5.15E-03,1.18E-02,-1.13E-01,,
3.968,9.68E-03,-4.12E-03,1.05E-02,-1.01E-01,,
3.972,8.68E-03,-3.19E-03,9.25E-03,-8.80E-02,,
3.976,7.60E-03,-2.36E-03,7.96E-03,-7.54E-02,,
3.98,6.44E-03,-1.65E-03,6.65E-03,-6.28E-02,,
3.984,5.23E-03,-1.07E-03,5.33E-03,-5.03E-02,,
3.988,3.96E-03,-6.02E-04,4.00E-03,-3.77E-02,,
3.992,2.66E-03,-2.68E-04,2.67E-03,-2.51E-02,,
3.996,1.33E-03,-6.71E-05,1.34E-03,-1.26E-02,,
