frequency,real,img,mag,phase,,
0.56,6.03E-03,5.66E-03,8.28E-03,1.88E-01,,
0.564,6.09E-03,6.32E-03,8.78E-03,2.01E-01,,
0.568,6.09E-03,6.99E-03,9.27E-03,2.14E-01,,
0.572,6.02E-03,7.66E-03,9.74E-03,2.26E-01,,
0.576,5.89E-03,8.33E-03,1.02E-02,2.39E-01,,
0.58,5.70E-03,8.98E-03,1.06E-02,2.51E-01,,
0.584,5.45E-03,9.62E-03,1.11E-02,2.64E-01,,
0.588,5.13E-03,1.02E-02,1.14E-02,2.76E-01,,
0.592,4.76E-03,1.08E-02,1.18E-02,2.89E-01,,
0.596,4.33E-03,1.14E-02,1.22E-02,3.02E-01,,
0.6,3.86E-03,1.19E-02,1.25E-02,3.14E-01,,
0.604,3.33E-03,1.23E-02,1.28E-02,3.27E-01,,
0.608,2.76E-03,1.27E-02,1.30E-02,3.39E-01,,
0.612,2.16E-03,1.31E-02,1.33E-02,3.52E-01,,
0.616,1.52E-03,1.34E-02,1.35E-02,3.64E-01,,
0.62,8.55E-04,1.36E-02,1.36E-02,3.77E-01,,
0.624,1.73E-04,1.38E-02,1.38E-02,3.90E-01,,
0.628,-5.22E-04,1.38E-02,1.39E-02,4.02E-01,,
0.632,-1.22E-03,1.39E-02,1.39E-02,4.15E-01,,
0.636,-1.92E-03,1.38E-02,1.39E-02,4.27E-01,,
0.64,-2.61E-03,1.37E-02,1.39E-02,4.40E-01,,
0.644,-3.28E-03,1.35E-02,1.39E-02,4.52E-01,,
0.648,-3.94E-03,1.32E-02,1.38E-02,4.65E-01,,
0.652,-4.56E-03,1.29E-02,1.37E-02,4.78E-01,,
0.656,-5.14E-03,1.25E-02,1.35E-02,4.90E-01,,
0.66,-5.68E-03,1.21E-02,1.33E-02,5.03E-01,,
0.664,-6.17E-03,1.16E-02,1.31E-02,5.15E-01,,
0.668,-6.60E-03,1.10E-02,1.28E-02,5.28E-01,,
0.672,-6.97E-03,1.04E-02,1.25E-02,5.40E-01,,
0.676,-7.28E-03,9.76E-03,1.22E-02,5.53E-01,,
0.68,-7.51E-03,9.08E-03,1.18E-02,5.65E-01,,
0.684,-7.68E-03,8.38E-03,1.14E-02,5.78E-01,,
0.688,-7.76E-03,7.66E-03,1.09E-02,5.91E-01,,
0.692,-7.77E-03,6.94E-03,1.04E-02,6.03E-01,,
0.696,-7.70E-03,6.21E-03,9.89E-03,6.16E-01,,
0.7,-7.55E-03,5.48E-03,9.33E-03,6.28E-01,,
0.704,-7.32E-03,4.77E-03,8.73E-03,6.41E-01,,
0.708,-7.01E-03,4.08E-03,8.11E-03,6.53E-01,,
0.712,-6.62E-03,3.43E-03,7.45E-03,6.66E-01,,
0.716,-6.16E-03,2.81E-03,6.77E-03,6.79E-01,,
0.72,-5.63E-03,2.23E-03,6.06E-03,6.91E-01,,
0.724,-5.04E-03,1.71E-03,5.32E-03,7.04E-01,,
0.728,-4.38E-03,1.24E-03,4.56E-03,7.16E-01,,
0.732,-3.68E-03,8.46E-04,3.77E-03,7.29E-01,,
0.736,-2.92E-03,5.19E-04,2.96E-03,7.41E-01,,
0.74,-2.12E-03,2.68E-04,2.14E-03,7.54E-01,,
0.744,-1.29E-03,9.75E-05,1.29E-03,7.67E-01,,
0.748,-4.35E-04,1.09E-05,4.35E-04,7.79E-01,,
0.752,4.38E-04,1.10E-05,4.38E-04,6.30E-03,,
0.756,1.32E-03,9.96E-05,1.32E-03,1.89E-02,,
0.76,2.20E-03,2.78E-04,2.21E-03,3.14E-02,,
0.764,3.07E-03,5.45E-04,3.11E-03,4.40E-02,,
0.768,3.92E-03,9.01E-04,4.02E-03,5.65E-02,,
0.772,4.74E-03,1.34E-03,4.93E-03,6.91E-02,,
0.776,5.52E-03,1.87E-03,5.83E-03,8.17E-02,,
0.78,6.26E-03,2.48E-03,6.74E-03,9.42E-02,,
0.784,6.95E-03,3.16E-03,7.64E-03,1.07E-01,,
0.788,7.57E-03,3.92E-03,8.53E-03,1.19E-01,,
0.792,8.13E-03,4.74E-03,9.41E-03,1.32E-01,,
0.796,8.61E-03,5.62E-03,1.03E-02,1.45E-01,,
0.8,9.01E-03,6.55E-03,1.11E-02,1.57E-01,,
0.804,9.32E-03,7.52E-03,1.20E-02,1.70E-01,,
0.808,9.54E-03,8.52E-03,1.28E-02,1.82E-01,,
0.812,9.67E-03,9.55E-03,1.36E-02,1.95E-01,,
0.816,9.70E-03,1.06E-02,1.44E-02,2.07E-01,,
0.82,9.63E-03,1.16E-02,1.51E-02,2.20E-01,,
0.824,9.46E-03,1.27E-02,1.58E-02,2.32E-01,,
0.828,9.20E-03,1.37E-02,1.65E-02,2.45E-01,,
